日付,時刻,気温(℃),風向(度:0～359),風速(m/s),降水量(mm),積雪深(cm),前１時間降雪量(cm)
2018-01-01,00:10,-2.8,124,2.0,0.0,42,×
2018-01-01,00:20,-2.8,121,2.1,0.0,42,×
2018-01-01,00:30,-2.9,123,1.9,0.0,42,×
2018-01-01,00:40,-2.9,119,2.1,0.0,42,×
2018-01-01,00:50,-2.9,119,2.5,0.0,42,×
2018-01-01,01:00,-2.9,118,2.0,0.0,42,0
2018-01-01,01:10,-2.9,114,1.8,0.0,42,×
2018-01-01,01:20,-2.9,112,1.9,0.0,42,×
2018-01-01,01:30,-2.8,113,1.7,0.0,42,×
2018-01-01,01:40,-2.7,119,1.6,0.0,42,×
2018-01-01,01:50,-2.7,123,1.5,0.0,42,×
2018-01-01,02:00,-2.7,131,1.3,0.0,42,0
2018-01-01,02:10,-2.7,132,1.8,0.0,42,×
2018-01-01,02:20,-2.6,123,2.1,0.0,42,×
2018-01-01,02:30,-2.6,122,1.9,0.0,42,×
2018-01-01,02:40,-2.5,132,2.0,0.0,42,×
2018-01-01,02:50,-2.5,135,1.9,0.0,42,×
2018-01-01,03:00,-2.5,131,1.7,0.0,42,0
2018-01-01,03:10,-2.5,128,2.0,0.0,42,×
2018-01-01,03:20,-2.5,124,2.1,0.0,42,×
2018-01-01,03:30,-2.4,129,1.9,0.5,42,×
2018-01-01,03:40,-2.4,129,2.0,0.0,42,×
2018-01-01,03:50,-2.4,129,1.8,0.0,42,×
2018-01-01,04:00,-2.4,118,2.3,0.0,42,0
2018-01-01,04:10,-2.4,121,2.5,0.0,42,×
2018-01-01,04:20,-2.3,117,2.4,0.0,42,×
2018-01-01,04:30,-2.2,120,2.1,0.0,42,×
2018-01-01,04:40,-2.0,121,2.1,0.0,42,×
2018-01-01,04:50,-2.2,122,1.7,0.0,42,×
2018-01-01,05:00,-2.1,122,1.8,0.0,42,0
2018-01-01,05:10,-2.1,120,2.3,0.0,42,×
2018-01-01,05:20,-2.1,120,2.1,0.0,42,×
2018-01-01,05:30,-2.0,119,2.0,0.0,43,×
2018-01-01,05:40,-1.9,119,2.5,0.0,42,×
2018-01-01,05:50,-1.9,114,2.7,0.0,43,×
2018-01-01,06:00,-1.9,119,2.6,0.0,43,1
2018-01-01,06:10,-1.9,112,2.4,0.0,43,×
2018-01-01,06:20,-1.8,115,2.4,0.5,42,×
2018-01-01,06:30,-1.8,111,2.8,0.0,43,×
2018-01-01,06:40,-1.7,120,2.9,0.0,43,×
2018-01-01,06:50,-1.7,117,3.0,0.0,43,×
2018-01-01,07:00,-1.6,121,2.9,0.0,43,0
2018-01-01,07:10,-1.6,121,2.5,0.0,44,×
2018-01-01,07:20,-1.5,120,2.8,0.0,44,×
2018-01-01,07:30,-1.5,115,3.0,0.0,44,×
2018-01-01,07:40,-1.5,116,2.8,0.0,44,×
2018-01-01,07:50,-1.5,118,3.2,0.0,44,×
2018-01-01,08:00,-1.5,113,3.3,0.5,44,1
2018-01-01,08:10,-1.4,117,3.1,0.0,44,×
2018-01-01,08:20,-1.4,120,3.4,0.0,44,×
2018-01-01,08:30,-1.4,121,2.7,0.0,44,×
2018-01-01,08:40,-1.3,125,2.1,0.0,44,×
2018-01-01,08:50,-1.3,123,2.2,0.0,44,×
2018-01-01,09:00,-1.2,126,1.9,0.0,44,0
2018-01-01,09:10,-1.2,117,2.1,0.5,44,×
2018-01-01,09:20,-1.2,115,1.8,0.0,44,×
2018-01-01,09:30,-1.1,116,1.7,0.0,44,×
2018-01-01,09:40,-1.1,129,1.3,0.0,44,×
2018-01-01,09:50,-0.9,114,1.7,0.0,44,×
2018-01-01,10:00,-0.7,108,1.5,0.0,44,0
2018-01-01,10:10,-0.6,110,1.3,0.0,44,×
2018-01-01,10:20,-0.6,123,1.1,0.0,44,×
2018-01-01,10:30,-0.4,101,1.5,0.0,44,×
2018-01-01,10:40,-0.3,103,2.0,0.0,44,×
2018-01-01,10:50,-0.3,106,2.1,0.0,44,×
2018-01-01,11:00,0.2,109,1.2,0.0,44,0
2018-01-01,11:10,0.6,98,1.2,0.5,44,×
2018-01-01,11:20,0.9,108,1.2,0.0,44,×
2018-01-01,11:30,1.0,106,1.2,0.0,44,×
2018-01-01,11:40,1.3,109,1.1,0.0,44,×
2018-01-01,11:50,1.6,121,1.2,0.0,43,×
2018-01-01,12:00,1.6,116,1.6,0.0,43,0
2018-01-01,12:10,1.7,112,1.7,0.0,43,×
2018-01-01,12:20,2.0,134,1.5,0.0,43,×
2018-01-01,12:30,2.0,126,1.3,0.0,42,×
2018-01-01,12:40,2.0,118,1.5,0.0,42,×
2018-01-01,12:50,2.0,115,2.1,0.0,42,×
2018-01-01,13:00,2.1,117,2.1,0.0,42,0
2018-01-01,13:10,2.0,119,2.6,0.0,42,×
2018-01-01,13:20,1.8,122,1.9,0.0,42,×
2018-01-01,13:30,1.6,132,1.6,0.0,43,×
2018-01-01,13:40,1.6,119,2.1,0.0,42,×
2018-01-01,13:50,1.5,111,2.2,0.0,42,×
2018-01-01,14:00,1.6,126,1.4,0.0,42,0
2018-01-01,14:10,1.7,124,1.5,0.0,42,×
2018-01-01,14:20,1.7,139,1.3,0.0,42,×
2018-01-01,14:30,1.8,116,1.7,0.0,42,×
2018-01-01,14:40,1.9,118,1.9,0.0,42,×
2018-01-01,14:50,2.0,118,2.1,0.0,42,×
2018-01-01,15:00,2.3,121,2.7,0.0,42,0
2018-01-01,15:10,2.3,127,1.8,0.0,41,×
2018-01-01,15:20,2.2,130,1.7,0.0,41,×
2018-01-01,15:30,2.1,122,1.8,0.0,41,×
2018-01-01,15:40,2.1,136,1.6,0.0,41,×
2018-01-01,15:50,2.0,130,1.6,0.0,41,×
2018-01-01,16:00,2.1,123,2.3,0.0,41,0
2018-01-01,16:10,2.1,119,2.1,0.0,41,×
2018-01-01,16:20,2.0,120,1.7,0.0,41,×
2018-01-01,16:30,2.1,121,2.0,0.0,41,×
2018-01-01,16:40,2.0,119,2.0,0.0,41,×
2018-01-01,16:50,2.1,125,2.0,0.0,41,×
2018-01-01,17:00,2.3,123,2.6,0.0,41,0
2018-01-01,17:10,2.3,125,2.4,0.0,41,×
2018-01-01,17:20,2.2,132,1.8,0.0,41,×
2018-01-01,17:30,2.0,119,1.6,0.0,41,×
2018-01-01,17:40,1.8,113,1.4,0.0,41,×
2018-01-01,17:50,1.8,107,1.6,0.0,41,×
2018-01-01,18:00,1.8,108,1.6,0.0,41,0
2018-01-01,18:10,2.0,117,1.4,0.0,41,×
2018-01-01,18:20,1.6,104,1.2,0.0,41,×
2018-01-01,18:30,1.5,104,1.0,0.0,41,×
2018-01-01,18:40,1.5,105,1.0,0.0,41,×
2018-01-01,18:50,1.6,130,1.2,0.0,41,×
2018-01-01,19:00,1.8,129,1.4,0.0,41,0
2018-01-01,19:10,1.3,180,1.6,0.5,41,×
2018-01-01,19:20,1.5,191,2.1,0.0,41,×
2018-01-01,19:30,1.4,189,2.6,0.0,41,×
2018-01-01,19:40,1.5,178,2.3,0.5,41,×
2018-01-01,19:50,1.1,137,1.7,0.5,41,×
2018-01-01,20:00,0.9,111,1.7,0.0,41,0
2018-01-01,20:10,1.0,110,2.0,0.5,41,×
2018-01-01,20:20,1.0,102,1.7,0.0,41,×
2018-01-01,20:30,1.2,101,1.7,0.0,41,×
2018-01-01,20:40,1.3,97,1.7,0.0,41,×
2018-01-01,20:50,1.3,96,1.9,0.0,41,×
2018-01-01,21:00,1.1,98,1.7,0.0,41,0
2018-01-01,21:10,1.1,97,1.6,0.0,40,×
2018-01-01,21:20,1.1,102,1.7,0.0,40,×
2018-01-01,21:30,1.0,99,1.4,0.0,40,×
2018-01-01,21:40,0.9,86,1.4,0.0,40,×
2018-01-01,21:50,0.9,83,1.4,0.0,40,×
2018-01-01,22:00,0.9,80,1.9,0.0,40,0
2018-01-01,22:10,0.9,74,1.8,0.0,40,×
2018-01-01,22:20,0.9,79,1.9,0.0,40,×
2018-01-01,22:30,0.8,75,1.5,0.0,40,×
2018-01-01,22:40,0.9,77,1.5,0.0,40,×
2018-01-01,22:50,0.9,82,1.3,0.0,40,×
2018-01-01,23:00,0.9,97,2.0,0.0,40,0
2018-01-01,23:10,0.9,99,1.9,0.0,40,×
2018-01-01,23:20,0.9,106,1.9,0.0,40,×
2018-01-01,23:30,0.9,100,1.6,0.5,40,×
2018-01-01,23:40,0.9,96,1.5,0.0,40,×
2018-01-01,23:50,0.9,100,1.8,0.0,40,×
2018-01-02,00:00,0.8,98,1.9,0.0,40,0
2018-01-02,00:10,0.9,106,2.1,0.0,40,×
2018-01-02,00:20,0.9,108,1.9,0.0,40,×
2018-01-02,00:30,1.1,110,1.7,0.0,40,×
2018-01-02,00:40,1.0,106,1.3,0.0,40,×
2018-01-02,00:50,0.9,122,1.7,0.0,40,×
2018-01-02,01:00,0.9,123,1.5,0.0,39,0
2018-01-02,01:10,0.9,120,1.2,0.0,39,×
2018-01-02,01:20,1.0,112,1.1,0.0,39,×
2018-01-02,01:30,0.9,94,1.0,0.0,39,×
2018-01-02,01:40,1.1,98,1.6,0.0,39,×
2018-01-02,01:50,1.4,100,1.4,0.0,39,×
2018-01-02,02:00,1.5,98,1.5,0.0,39,0
2018-01-02,02:10,1.4,122,1.4,0.0,39,×
2018-01-02,02:20,1.4,136,1.5,0.0,39,×
2018-01-02,02:30,1.4,130,1.2,0.0,39,×
2018-01-02,02:40,1.4,159,1.7,0.0,39,×
2018-01-02,02:50,1.4,162,1.2,0.0,39,×
2018-01-02,03:00,1.6,171,1.5,0.0,39,0
2018-01-02,03:10,1.7,144,1.1,0.0,39,×
2018-01-02,03:20,1.7,160,0.9,0.0,39,×
2018-01-02,03:30,1.7,163,1.1,0.0,39,×
2018-01-02,03:40,1.7,161,1.1,0.0,39,×
2018-01-02,03:50,2.0,166,1.3,0.0,39,×
2018-01-02,04:00,1.8,170,1.0,0.0,39,0
2018-01-02,04:10,1.8,174,1.1,0.0,39,×
2018-01-02,04:20,1.8,158,1.3,0.0,39,×
2018-01-02,04:30,1.8,139,1.0,0.0,39,×
2018-01-02,04:40,2.0,153,1.2,0.0,39,×
2018-01-02,04:50,2.1,155,1.1,0.0,39,×
2018-01-02,05:00,2.0,159,1.2,0.0,39,0
2018-01-02,05:10,1.7,145,1.5,0.0,39,×
2018-01-02,05:20,1.3,146,1.1,0.0,39,×
2018-01-02,05:30,0.9,160,1.1,0.5,39,×
2018-01-02,05:40,0.9,136,0.7,0.0,39,×
2018-01-02,05:50,0.8,108,0.6,0.0,39,×
2018-01-02,06:00,0.7,104,0.4,0.0,39,0
2018-01-02,06:10,0.7,96,0.5,0.0,39,×
2018-01-02,06:20,0.7,73,0.5,0.0,39,×
2018-01-02,06:30,0.7,64,0.9,0.0,39,×
2018-01-02,06:40,0.8,67,0.7,0.0,39,×
2018-01-02,06:50,0.8,67,0.8,0.0,39,×
2018-01-02,07:00,0.9,99,0.7,0.0,39,0
2018-01-02,07:10,0.8,105,0.6,0.0,39,×
2018-01-02,07:20,0.8,112,1.0,0.0,39,×
2018-01-02,07:30,0.7,118,0.9,0.0,38,×
2018-01-02,07:40,0.7,120,1.4,0.0,38,×
2018-01-02,07:50,0.7,122,0.9,0.0,38,×
2018-01-02,08:00,0.5,119,1.0,0.0,38,0
2018-01-02,08:10,0.6,122,0.9,0.0,38,×
2018-01-02,08:20,0.7,126,1.0,0.0,38,×
2018-01-02,08:30,0.6,122,1.1,0.0,38,×
2018-01-02,08:40,0.4,144,1.3,0.0,38,×
2018-01-02,08:50,0.3,128,1.1,0.0,38,×
2018-01-02,09:00,0.5,126,0.9,0.5,38,0
2018-01-02,09:10,0.3,131,1.2,0.0,38,×
2018-01-02,09:20,0.2,114,1.5,0.5,38,×
2018-01-02,09:30,0.3,105,1.2,0.0,38,×
2018-01-02,09:40,0.3,102,1.1,0.0,37,×
2018-01-02,09:50,0.4,101,1.3,0.5,37,×
2018-01-02,10:00,0.5,97,1.2,0.0,37,0
2018-01-02,10:10,0.6,104,0.8,0.0,37,×
2018-01-02,10:20,0.4,99,1.1,0.0,39,×
2018-01-02,10:30,0.4,100,1.1,0.0,40,×
2018-01-02,10:40,0.4,101,1.7,0.0,40,×
2018-01-02,10:50,0.4,90,1.3,0.0,39,×
2018-01-02,11:00,0.4,87,1.5,0.5,39,2
2018-01-02,11:10,0.4,90,1.9,0.0,39,×
2018-01-02,11:20,0.5,105,1.9,0.0,39,×
2018-01-02,11:30,0.4,113,1.8,0.0,39,×
2018-01-02,11:40,0.6,122,1.6,0.0,39,×
2018-01-02,11:50,0.7,90,1.4,0.0,39,×
2018-01-02,12:00,0.9,119,0.8,0.0,39,0
2018-01-02,12:10,0.9,118,2.3,0.0,39,×
2018-01-02,12:20,1.1,99,1.3,0.0,39,×
2018-01-02,12:30,1.2,113,1.4,0.0,39,×
2018-01-02,12:40,1.4,135,1.5,0.0,39,×
2018-01-02,12:50,1.1,118,1.9,0.0,39,×
2018-01-02,13:00,1.0,110,2.1,0.0,39,0
2018-01-02,13:10,1.1,107,1.9,0.0,39,×
2018-01-02,13:20,1.3,114,2.4,0.0,39,×
2018-01-02,13:30,1.3,106,2.1,0.0,39,×
2018-01-02,13:40,1.3,100,1.3,0.0,39,×
2018-01-02,13:50,1.5,105,1.3,0.0,39,×
2018-01-02,14:00,1.4,93,1.4,0.0,38,0
2018-01-02,14:10,1.4,96,1.4,0.0,38,×
2018-01-02,14:20,1.4,91,1.1,0.0,38,×
2018-01-02,14:30,1.5,123,0.9,0.0,38,×
2018-01-02,14:40,1.3,120,1.4,0.0,38,×
2018-01-02,14:50,1.5,56,0.4,0.0,38,×
2018-01-02,15:00,1.8,110,0.3,0.0,38,0
2018-01-02,15:10,2.4,98,0.3,0.0,38,×
2018-01-02,15:20,2.8,318,0.4,0.0,38,×
2018-01-02,15:30,2.7,275,1.6,0.0,38,×
2018-01-02,15:40,2.5,286,1.1,0.0,38,×
2018-01-02,15:50,2.6,264,0.1,0.0,38,×
